user_id,result
85,"[983936, 1139782, 1021519, 972312, 974156]"
86,"[865026, 1137775, 989824, 1003649, 969725]"
87,"[1008820, 6391089, 1083043, 1062854, 1048257]"
88,"[1075368, 8019716, 871440, 944466, 833940]"
89,"[9296804, 852856, 9487769, 986947, 948670]"
90,"[862535, 942299, 6464166, 954673, 830608]"
91,"[1056651, 989275, 911088, 989101, 1038663]"
92,"[877447, 1127758, 6391089, 895268, 1048257]"
94,"[939636, 1002178, 1005186, 992529, 12262830]"
95,"[922561, 848015, 832001, 968936, 1088771]"
97,"[1075368, 898847, 926905, 1075313, 1034176]"
98,"[1095040, 969866, 1077975, 6602697, 1013928]"
99,"[824073, 970119, 849843, 1102949, 948670]"
100,"[1012587, 1016800, 890695, 1116096, 849202]"
101,"[909894, 925626, 1123106, 1090931, 6533765]"
103,"[1089766, 1105488, 961846, 1079228, 908314]"
104,"[1011300, 996156, 1132771, 904236, 906335]"
105,"[1135868, 879528, 1106301, 1101010, 12262830]"
106,"[993466, 1107553, 1127179, 8019977, 906844]"
108,"[912681, 968936, 962266, 903800, 5591777]"
109,"[12731436, 1058997, 856215, 996955, 906844]"
110,"[860975, 5592931, 885290, 1082310, 841236]"
111,"[9677874, 1071277, 932179, 989101, 849202]"
112,"[1022066, 905436, 1011300, 917033, 849202]"
113,"[1070820, 976199, 854754, 1009187, 933354]"
114,"[5568489, 882604, 885697, 875392, 948670]"
115,"[983584, 918598, 1101010, 1003188, 12582055]"
116,"[976199, 1037863, 1106301, 850058, 1014732]"
117,"[862349, 901062, 1042702, 1089392, 10198378]"
118,"[849843, 1003178, 8273950, 1126252, 1048257]"
119,"[1119399, 1002771, 923670, 825703, 849202]"
120,"[857294, 822848, 1110843, 1068957, 9526884]"
121,"[1075470, 1085333, 989069, 1039156, 874972]"
122,"[940947, 1118264, 839849, 6464147, 10198378]"
123,"[1056509, 1126899, 1038985, 819063, 849202]"
124,"[947798, 833025, 1037840, 904813, 5590465]"
125,"[844165, 971922, 916990, 8090513, 1057749]"
126,"[1122358, 933067, 846823, 1075470, 836445]"
127,"[13842214, 901543, 877447, 940947, 904129]"
128,"[1051516, 1015296, 1003188, 1045109, 1129049]"
129,"[961269, 929668, 860975, 1030362, 1075007]"
131,"[821083, 1044188, 1407216, 1098284, 982469]"
132,"[1110572, 999198, 1058997, 5565784, 1108094]"
133,"[9242918, 5568228, 1132771, 1062002, 1048257]"
134,"[1135834, 838186, 1051323, 5569374, 1021324]"
135,"[862349, 898121, 926422, 1046584, 842068]"
136,"[1029624, 5569349, 8090539, 949965, 1021164]"
137,"[9526100, 930118, 849843, 983584, 844462]"
138,"[1122358, 979566, 819978, 5590613, 9419528]"
139,"[879755, 1126045, 1057102, 968695, 1021324]"
140,"[1037840, 1126870, 879755, 8090521, 1013928]"
142,"[1082212, 1093966, 1070015, 873627, 948670]"
143,"[1053690, 12731714, 1043920, 5569230, 974156]"
144,"[879755, 1118787, 901976, 910473, 917384]"
145,"[872137, 951412, 839849, 5568249, 1057749]"
147,"[1082172, 908531, 860975, 916990, 12731432]"
148,"[1003487, 883003, 5568489, 13841744, 1069312]"
149,"[6533936, 862349, 896085, 883003, 1079913]"
151,"[963365, 1028473, 999581, 9420067, 970747]"
152,"[1037332, 879504, 993441, 1121213, 882308]"
153,"[900418, 984575, 916767, 939636, 981677]"
154,"[1057260, 1102416, 1030362, 1074333, 12262830]"
155,"[1015280, 908318, 971922, 1107973, 849202]"
156,"[911311, 1071759, 861445, 1016800, 863762]"
157,"[962229, 919589, 847207, 838186, 844462]"
158,"[862349, 1025641, 7025106, 1021519, 1100869]"
159,"[9420312, 1131344, 8205218, 847982, 6533765]"
160,"[1135834, 833598, 1110843, 9526786, 904997]"
161,"[868764, 935527, 9420312, 1050851, 917384]"
162,"[1122358, 964521, 10456371, 885406, 841565]"
163,"[944137, 909268, 951727, 1026235, 9677366]"
164,"[13115493, 1075305, 963971, 839605, 6533765]"
165,"[896613, 1104343, 1070820, 8205218, 948670]"
166,"[1075368, 1053690, 1018740, 1072523, 904129]"
167,"[962266, 908318, 1072693, 833724, 1048257]"
170,"[1126899, 923673, 1046584, 8293447, 1057749]"
171,"[987724, 834103, 998119, 905817, 829291]"
172,"[1053690, 823704, 969568, 906838, 6533765]"
175,"[1053329, 824005, 1065303, 1031083, 1013928]"
177,"[901666, 1009449, 10344585, 1059236, 906335]"
178,"[963686, 827656, 972312, 1048462, 1054402]"
180,"[830503, 1037840, 8177622, 944534, 1013928]"
182,"[943233, 7410290, 962118, 1037863, 1134678]"
183,"[1028816, 7147145, 1135681, 819840, 982469]"
184,"[896085, 824005, 6533936, 1075368, 9831557]"
185,"[918733, 944534, 822407, 893501, 6533765]"
187,"[929726, 918733, 983584, 6553737, 5590965]"
188,"[1099089, 832678, 1127758, 1025611, 917384]"
189,"[999714, 986912, 7462562, 1124971, 904129]"
191,"[1007082, 13842088, 1036347, 1104349, 833940]"
192,"[1082212, 1002850, 1002771, 9835509, 1082627]"
193,"[944139, 1130777, 983584, 991592, 829291]"
194,"[951412, 9527159, 6391381, 1112238, 836445]"
195,"[1062128, 890695, 899682, 821344, 1000753]"
196,"[926905, 929726, 1037840, 910473, 6533765]"
197,"[9881593, 963835, 856827, 1075979, 1065538]"
198,"[819765, 873627, 1075368, 1085604, 1000753]"
199,"[859237, 7409670, 1082212, 990004, 875804]"
200,"[1138189, 823990, 1038985, 1042942, 1038663]"
201,"[1138292, 5569327, 1108168, 856060, 904997]"
203,"[5569471, 849843, 1082990, 901776, 9526574]"
204,"[1057102, 938118, 1070845, 1097635, 948670]"
205,"[1026118, 1072523, 5568197, 1068292, 982469]"
206,"[999779, 953539, 926905, 982790, 5590965]"
207,"[870515, 888431, 1138189, 963971, 899019]"
208,"[885290, 879504, 854133, 921504, 956599]"
209,"[849843, 819978, 1056212, 860975, 6533765]"
210,"[910473, 999779, 969866, 1038985, 1013928]"
211,"[962229, 1006878, 856942, 841266, 6391152]"
212,"[6533362, 1095068, 1081189, 1062002, 849202]"
214,"[833724, 944836, 905436, 8293343, 917384]"
215,"[895540, 916993, 6391089, 959985, 948670]"
216,"[6533936, 874832, 910109, 1128812, 974156]"
217,"[895930, 847207, 841266, 996087, 1000753]"
218,"[894439, 965772, 1026118, 6463710, 878715]"
219,"[862349, 5568447, 879528, 824005, 1004436]"
220,"[5574108, 1060193, 899682, 992986, 904129]"
221,"[12427353, 1040346, 819978, 1018740, 824977]"
222,"[999779, 1094308, 820301, 5585510, 974156]"
223,"[879755, 932863, 864279, 871756, 904129]"
224,"[913278, 837107, 1089021, 899459, 1038663]"
225,"[928049, 1100972, 987122, 1110244, 5995129]"
226,"[932503, 832678, 1102416, 1042942, 829291]"
227,"[898601, 996009, 890695, 1075470, 1002787]"
228,"[1139782, 1134810, 5569471, 1042702, 906844]"
230,"[8090532, 968932, 820560, 819304, 6533765]"
232,"[1016800, 844165, 861445, 937791, 6533765]"
233,"[1122568, 12384365, 862535, 1131488, 1122255]"
235,"[862732, 1123434, 905087, 1062128, 944018]"
236,"[906838, 1126899, 822677, 8119157, 849202]"
237,"[833724, 849843, 881154, 916993, 6463949]"
238,"[1102416, 1067749, 989101, 868764, 948670]"
239,"[1108168, 910439, 1051516, 995230, 948670]"
240,"[1101589, 1073902, 926905, 938512, 1082627]"
242,"[865156, 908504, 893501, 971922, 1065538]"
243,"[1126899, 1117514, 996114, 8020234, 1075007]"
244,"[909894, 896757, 913210, 908283, 1000753]"
245,"[1061220, 972416, 944317, 1015280, 12731517]"
246,"[978313, 862139, 1048472, 1070820, 906844]"
247,"[878445, 1077555, 1121360, 1112754, 1038663]"
248,"[5978585, 913210, 946995, 1062002, 1038663]"
249,"[1053690, 828867, 972931, 1139471, 1038663]"
250,"[844165, 923169, 947201, 1101010, 849202]"
251,"[1040807, 1070820, 907631, 5569327, 874972]"
253,"[969866, 1062966, 1108131, 933835, 1013928]"
254,"[859237, 1067749, 831536, 865511, 6463903]"
255,"[1115576, 1047968, 1082212, 1006878, 7410346]"
256,"[913490, 1101706, 10344585, 873627, 906844]"
257,"[1093413, 1113588, 1127758, 1075470, 1038663]"
258,"[906917, 935968, 9420312, 824796, 1048257]"
259,"[1087605, 879755, 881154, 832768, 1075007]"
260,"[921836, 1056651, 1028816, 962229, 849202]"
261,"[1092026, 7167945, 989101, 992986, 12262778]"
262,"[1124971, 1008814, 1058997, 849843, 1013928]"
263,"[12427353, 871754, 998206, 1039156, 12262978]"
264,"[1101706, 12577242, 926905, 1119051, 926884]"
266,"[1104349, 907099, 824305, 1048068, 9655679]"
267,"[935393, 1134522, 901976, 5569098, 6533765]"
268,"[12302069, 884333, 1110572, 902172, 882308]"
269,"[1139782, 962229, 1131438, 969419, 5995129]"
270,"[1053690, 1028891, 8090521, 1135681, 982469]"
271,"[986912, 1135834, 1124729, 8090532, 849202]"
273,"[1053690, 6979579, 834103, 1043663, 879734]"
274,"[1106073, 12731544, 993638, 1070015, 977927]"
275,"[918638, 857554, 1050851, 1040346, 6533765]"
276,"[1058930, 845193, 1089766, 1051323, 12810391]"
277,"[846823, 1037840, 841266, 917033, 1013928]"
278,"[1070845, 921744, 1138292, 866548, 917384]"
279,"[919534, 994928, 1082212, 1070015, 874972]"
280,"[12731544, 999270, 6602729, 924352, 1000753]"
281,"[1018050, 934369, 934399, 862349, 12262830]"
282,"[1056651, 993441, 1037332, 5569374, 909972]"
283,"[940947, 990797, 901776, 856252, 1108094]"
285,"[878739, 1013389, 6533368, 944486, 6533765]"
286,"[1104414, 8015407, 997309, 966684, 1115069]"
287,"[10457128, 1118012, 952317, 847049, 1069312]"
288,"[932179, 1070820, 1005456, 928092, 899019]"
289,"[945662, 1042765, 1137688, 989703, 1079913]"
290,"[873964, 962229, 922561, 941741, 1013928]"
291,"[1113588, 911311, 1108131, 1033615, 1002787]"
292,"[864335, 8090509, 1043920, 9420312, 1013928]"
293,"[824005, 8291322, 1034686, 911622, 1038663]"
294,"[983584, 1050851, 873627, 905087, 1046562]"
297,"[844165, 908531, 1075368, 1128016, 1038663]"
300,"[944534, 1035207, 835618, 12301839, 970747]"
301,"[1015474, 898510, 1094924, 5582712, 874972]"
302,"[1027168, 10344586, 941741, 1021416, 982469]"
303,"[822225, 895930, 8090509, 891141, 1034176]"
304,"[868764, 6979753, 825365, 856335, 930283]"
305,"[943233, 8090532, 885290, 1110244, 1034176]"
306,"[1037863, 1079023, 1056509, 5569374, 13213240]"
307,"[916767, 929726, 819765, 1082172, 1014732]"
308,"[1043787, 1110572, 1134810, 947658, 887474]"
309,"[885290, 1037965, 890695, 882496, 1075353]"
311,"[1063207, 8090513, 1091365, 944137, 1110111]"
314,"[820486, 1009187, 849697, 1065167, 882308]"
315,"[1028816, 1026094, 1082990, 1053282, 904129]"
316,"[1025611, 1029624, 885290, 1120213, 6533765]"
317,"[983584, 1070845, 1043787, 1135834, 1000753]"
318,"[962229, 5569230, 995230, 1081919, 1021324]"
319,"[1019247, 935993, 990797, 6979160, 982469]"
320,"[934369, 12731436, 8090539, 1072523, 959737]"
321,"[905436, 5580166, 944836, 1126899, 1048257]"
322,"[12263788, 862349, 8090556, 1040807, 904997]"
324,"[1057260, 1070820, 1051468, 5570383, 1055022]"
325,"[896085, 5569471, 983936, 10344971, 1048257]"
326,"[8090521, 1037840, 1137346, 10150194, 1013928]"
328,"[885290, 1070820, 915493, 1048068, 1048257]"
329,"[944836, 901062, 1081189, 866871, 948670]"
330,"[860975, 948232, 1074040, 13841744, 948670]"
331,"[1044188, 5565322, 983659, 833724, 887474]"
332,"[1065593, 1070820, 13842214, 5569374, 970747]"
334,"[860975, 856772, 1018670, 1009449, 1021164]"
335,"[945652, 1088540, 1075368, 1005456, 9677366]"
336,"[848071, 835300, 1015296, 1065593, 6533765]"
337,"[5569471, 12427353, 1092937, 885795, 12731432]"
338,"[1028816, 1051516, 939636, 1069621, 959737]"
339,"[896085, 822785, 1082172, 988693, 12731432]"
340,"[1056651, 1075470, 1025611, 1054215, 906335]"
341,"[13115493, 1046789, 6391089, 1817725, 834396]"
342,"[1082212, 989069, 832678, 867648, 9677366]"
343,"[1134398, 826144, 1092588, 8119231, 917384]"
344,"[1062002, 7169091, 6533936, 1042702, 887474]"
345,"[6602697, 911974, 1002558, 855356, 833940]"
346,"[1101010, 1037863, 905087, 1062002, 962615]"
347,"[1110409, 996009, 823775, 910473, 1082627]"
348,"[1025611, 819308, 1127758, 1074333, 9835223]"
349,"[1126899, 907099, 1043751, 1011300, 1048257]"
350,"[834103, 1091365, 944137, 848878, 12810464]"
351,"[894439, 1057260, 892573, 838186, 8020166]"
352,"[5578547, 951412, 972312, 7462562, 874972]"
353,"[1022254, 1134810, 839656, 1082212, 970866]"
354,"[1050851, 1095068, 1101010, 971922, 849202]"
356,"[1049735, 921744, 1075368, 1023958, 948670]"
357,"[1126899, 1138487, 1071277, 1062128, 981677]"
358,"[5568489, 872137, 873627, 1043787, 981677]"
360,"[1102949, 5981267, 830887, 877447, 904129]"
361,"[1101010, 1082212, 1057260, 916993, 874972]"
362,"[889649, 841228, 1126045, 928932, 919766]"
364,"[279994, 914245, 850102, 1092026, 917384]"
365,"[1062128, 955275, 948298, 1085983, 1000753]"
366,"[1092026, 961269, 989985, 1128240, 12731432]"
367,"[839849, 1070820, 917033, 914318, 9524291]"
368,"[6533936, 5568721, 1037840, 1056509, 874972]"
369,"[1095068, 1022119, 1038745, 1104649, 6533765]"
371,"[919423, 1116821, 1137688, 1048462, 1054402]"
374,"[1015296, 901062, 879755, 993638, 1108094]"
375,"[1027835, 850102, 8090532, 1082212, 12731432]"
376,"[945909, 5590613, 1076875, 993638, 873324]"
377,"[994223, 1126899, 1042702, 6979160, 970747]"
378,"[916990, 8119093, 860975, 1126786, 848783]"
380,"[1098284, 845193, 1072523, 888111, 1013928]"
381,"[1075368, 1051323, 1128016, 1023958, 1061228]"
382,"[845109, 9705473, 999250, 985893, 1069312]"
383,"[1126899, 890695, 1092588, 988277, 1057749]"
384,"[1055504, 8019977, 1018670, 6034577, 1065538]"
385,"[1057260, 1124971, 1122358, 942817, 878715]"
386,"[839094, 951176, 998206, 977499, 6533765]"
387,"[1126899, 999090, 8090536, 1046756, 860248]"
388,"[839849, 849843, 1031864, 881154, 904129]"
389,"[1126899, 916993, 1042702, 991223, 887474]"
390,"[888543, 1072693, 894439, 819400, 863762]"
392,"[12263788, 1028473, 907099, 1094924, 12262830]"
393,"[972312, 963686, 1042702, 961846, 1013928]"
394,"[1063207, 885290, 6391381, 1026118, 948670]"
395,"[962229, 1126808, 1104604, 1120741, 906844]"
396,"[1075368, 1051516, 834103, 1009449, 866548]"
397,"[931255, 1107973, 1043787, 1050851, 919766]"
398,"[5981072, 1089066, 1092026, 1085604, 1129049]"
399,"[883932, 882190, 999714, 896862, 849202]"
400,"[5567702, 907099, 1057260, 1117393, 906844]"
401,"[1081189, 1127758, 993638, 856060, 9835223]"
402,"[1006483, 824005, 892573, 926422, 849202]"
403,"[944534, 880150, 1130375, 871061, 874972]"
404,"[1092588, 1003600, 951412, 1046756, 9392953]"
405,"[1039156, 7167836, 13842088, 845193, 948670]"
406,"[991592, 1057102, 5578547, 894968, 938138]"
408,"[1075470, 965842, 862799, 885290, 1065538]"
409,"[1070820, 856345, 8090513, 1112473, 1110111]"
410,"[819308, 1127758, 909894, 871611, 6919087]"
411,"[1011300, 969419, 5569374, 1044188, 9831557]"
412,"[849098, 1038745, 1007136, 982360, 6533765]"
413,"[986912, 860975, 1009449, 1026118, 1048257]"
414,"[872066, 1051211, 1082212, 6704415, 6533765]"
415,"[1062572, 911812, 1090884, 970119, 864893]"
417,"[1055504, 1045220, 5578547, 1065593, 1129049]"
418,"[12263788, 971922, 940947, 12988031, 901067]"
419,"[860975, 856252, 1071759, 1102416, 1014732]"
420,"[865705, 918733, 1059902, 889551, 982469]"
421,"[897752, 827656, 1031864, 1058997, 849202]"
422,"[882247, 1130458, 865511, 1070702, 869077]"
424,"[6533936, 953180, 833724, 888586, 849202]"
425,"[843464, 969419, 877447, 1037332, 904129]"
426,"[899682, 1005186, 954642, 929018, 968072]"
427,"[1042616, 947797, 1056651, 1054539, 919766]"
428,"[947798, 1053690, 1101010, 860975, 955259]"
430,"[1006483, 1042571, 1014802, 1110572, 1048257]"
431,"[1092937, 822140, 1070820, 913210, 10198378]"
432,"[1089766, 10457128, 1030093, 1041476, 1013928]"
433,"[849003, 969866, 1056651, 1033142, 943320]"
434,"[1039781, 845109, 1022003, 1120443, 961730]"
435,"[8090532, 932179, 1053690, 1117514, 1021324]"
436,"[1046689, 847982, 934399, 953180, 974156]"
437,"[1101010, 877310, 917033, 12263788, 948670]"
438,"[9881593, 1108168, 1070820, 1138292, 968072]"
439,"[1003600, 908318, 1037840, 935393, 874972]"
441,"[1075313, 9707137, 1019247, 6602697, 906844]"
442,"[879755, 1057260, 9526624, 1007136, 962615]"
443,"[1057260, 6602729, 6533362, 982393, 948670]"
445,"[1137346, 1032950, 1126899, 8090521, 829291]"
446,"[1044188, 888586, 954966, 1136719, 972969]"
447,"[1057260, 937626, 926905, 1092937, 12808385]"
448,"[6463717, 931255, 1132771, 1138443, 899019]"
449,"[1078763, 8090536, 1048462, 909396, 1034176]"
450,"[13842214, 1038217, 998206, 8015407, 863762]"
451,"[999189, 925862, 1109014, 1026118, 849202]"
452,"[1137346, 1069621, 935284, 1075979, 1008736]"
454,"[1023958, 1083787, 1130777, 1059902, 1021324]"
456,"[8090536, 862349, 947068, 869577, 1108094]"
457,"[865330, 5592931, 820122, 1050851, 6533765]"
458,"[916993, 1058997, 1023958, 12782182, 948670]"
459,"[972312, 885290, 12262832, 1077555, 863762]"
460,"[1017459, 1121624, 993466, 935342, 1004054]"
461,"[1019744, 964011, 980657, 1029624, 12262778]"
462,"[1011926, 1024489, 1024306, 1115576, 847994]"
463,"[1055504, 857006, 1051516, 1070015, 948670]"
464,"[5569374, 993638, 841266, 856772, 9419528]"
465,"[1110126, 1090931, 1089766, 1112825, 10121561]"
466,"[7147145, 988693, 1072523, 1101706, 12810464]"
467,"[1113588, 911470, 848071, 879755, 878715]"
468,"[928049, 883202, 1095700, 1044759, 1118946]"
469,"[951412, 907392, 9677202, 1070820, 849202]"
470,"[840601, 970619, 845193, 1043895, 908314]"
471,"[909894, 1029272, 1119405, 1026118, 1075007]"
472,"[871754, 1102416, 12263788, 10149640, 1021164]"
473,"[1053016, 1035207, 1056509, 1038985, 970866]"
474,"[1031083, 1038325, 1088683, 1053690, 12262978]"
475,"[1075368, 979566, 972665, 9837076, 883819]"
476,"[1101173, 926233, 1139525, 7442008, 836090]"
477,"[981521, 1134810, 1126899, 900697, 12731432]"
478,"[8203851, 963339, 1101980, 934369, 9655679]"
479,"[1085604, 962229, 1037840, 861445, 864893]"
480,"[1047769, 5569471, 1009449, 893501, 833940]"
481,"[895930, 5573314, 1007269, 1075368, 1034176]"
482,"[879755, 5585510, 910673, 844165, 6533765]"
483,"[1011300, 1122358, 1118533, 8090536, 9835223]"
484,"[946839, 1098910, 1110843, 823099, 1118946]"
485,"[845193, 996156, 12263788, 1121636, 12810391]"
486,"[982493, 1051323, 1092937, 1061220, 874972]"
487,"[912112, 952317, 983078, 904236, 12484491]"
488,"[943393, 1137688, 1026118, 1072523, 904997]"
489,"[1043787, 858743, 7025106, 1023958, 1048257]"
490,"[944317, 941741, 5569845, 822407, 1108094]"
491,"[6533936, 1003188, 867469, 1126899, 6551861]"
492,"[862349, 972569, 934369, 9935616, 849202]"
493,"[8090539, 819927, 961620, 954495, 1070723]"
495,"[1091365, 860975, 1024032, 1056509, 12810391]"
496,"[823990, 1036347, 999270, 1108168, 836445]"
497,"[9707137, 8273833, 8276172, 8119157, 906844]"
498,"[1110843, 961846, 1028891, 947201, 1061228]"
501,"[971983, 8090532, 932949, 1065380, 899019]"
502,"[1070015, 5568489, 849843, 1075470, 874972]"
503,"[1073150, 971983, 959985, 1013167, 1118623]"
504,"[1139827, 1102416, 983584, 917033, 1038663]"
505,"[1132770, 962991, 1135681, 7441498, 874972]"
506,"[843346, 896761, 1081189, 827570, 921438]"
507,"[1044259, 963868, 1036501, 1127716, 919766]"
508,"[879504, 856252, 1127758, 895930, 906844]"
510,"[1036501, 929018, 1073150, 944836, 1034176]"
511,"[879755, 1116635, 1067695, 944139, 6533765]"
512,"[1108168, 6464147, 971474, 999270, 917384]"
513,"[865026, 1018740, 1094924, 8090532, 1034176]"
514,"[923169, 1007136, 986947, 1082212, 7410217]"
515,"[927191, 1005609, 1012873, 1038462, 1034176]"
516,"[1110572, 827999, 1053690, 1070782, 968072]"
517,"[1126899, 1062128, 1003600, 872137, 904997]"
518,"[862732, 1102959, 1075368, 860975, 12810391]"
519,"[1039156, 919423, 962266, 1036347, 1079913]"
520,"[1048462, 1043751, 895540, 1104343, 956599]"
521,"[8090440, 6548453, 1056212, 981521, 970747]"
523,"[1057260, 1110572, 1005186, 13842090, 968072]"
524,"[1037863, 5569792, 1051516, 1098248, 1118623]"
525,"[913490, 1011300, 824305, 1026118, 904997]"
526,"[1101173, 847982, 1062128, 963835, 1021324]"
527,"[933835, 6514259, 1046584, 1011926, 948670]"
528,"[907099, 907647, 866871, 5585510, 1048257]"
530,"[1009449, 1096317, 839656, 926796, 906844]"
532,"[968695, 1057102, 962274, 850102, 1065538]"
533,"[826249, 857849, 969419, 1128240, 1038663]"
534,"[926422, 1124695, 841228, 1130111, 6533765]"
535,"[845193, 5587656, 1037332, 844165, 12810391]"
536,"[888054, 1108168, 965982, 944317, 6533765]"
537,"[1116635, 1137775, 1057260, 1072523, 1065538]"
538,"[1082212, 1070820, 985386, 997309, 867447]"
539,"[860975, 8014645, 988693, 14077333, 878715]"
540,"[1000237, 841016, 6391381, 9297474, 1118623]"
541,"[1079023, 819304, 1060408, 936594, 9524291]"
542,"[844165, 824796, 1050851, 1075368, 6533765]"
543,"[7443013, 5565664, 1116770, 844165, 879734]"
544,"[1006184, 8119157, 1110572, 1107553, 1118623]"
545,"[1070076, 1125943, 1040807, 989101, 969725]"
546,"[1002459, 1039156, 890610, 853998, 10198378]"
548,"[1094924, 885406, 1001333, 1098435, 831407]"
549,"[1096317, 9655679, 1108168, 861445, 1038663]"
550,"[835098, 917438, 1126808, 878222, 1088771]"
551,"[1058997, 922127, 1011926, 9547021, 12810391]"
552,"[1113588, 1088191, 1029624, 1097001, 1038663]"
553,"[967395, 842416, 1030362, 850058, 849202]"
554,"[1135681, 867188, 850102, 1108168, 982469]"
557,"[905436, 5569471, 819330, 879280, 921438]"
558,"[1048462, 10149640, 870547, 833724, 1134678]"
560,"[999104, 1104414, 1013641, 6464208, 1103808]"
561,"[932179, 833351, 944137, 12263788, 1000753]"
562,"[8090536, 1007136, 957951, 832678, 1115069]"
563,"[865705, 1105917, 1085604, 873527, 13213240]"
564,"[916381, 867188, 1110843, 1039156, 1129049]"
567,"[1089766, 986912, 993638, 987724, 6533765]"
568,"[865330, 999971, 947798, 1103629, 1038663]"
569,"[6391080, 8293385, 1062128, 1092303, 981677]"
570,"[1112766, 1069621, 1007512, 938596, 874972]"
573,"[8090521, 1028891, 1082212, 1098284, 9831557]"
574,"[891505, 945662, 914754, 1050851, 1134483]"
575,"[862349, 1094924, 1110042, 9571047, 1108094]"
576,"[986912, 1005186, 931579, 1029272, 849202]"
577,"[1056509, 868548, 1110244, 1095040, 970747]"
578,"[1012284, 13008321, 1006483, 1119051, 1129049]"
579,"[13842088, 1001680, 1091365, 1016800, 948670]"
580,"[1056509, 887342, 1038985, 821787, 1118946]"
581,"[1084796, 1048068, 1042942, 928049, 1038663]"
582,"[1119051, 1009187, 5568489, 862349, 1021324]"
583,"[1120741, 1110572, 1037840, 1013928, 1021324]"
